datetime,Q
2021-03-21 07:45:00,-350.96195616000006
2021-03-21 08:00:00,-348.67114032
2021-03-21 08:15:00,-339.50787696000003
2021-03-21 08:30:00,-337.2170611200001
2021-03-21 08:45:00,-339.50787696000003
2021-03-21 09:00:00,-341.7986928000001
2021-03-21 09:15:00,-334.92624528000005
2021-03-21 09:30:00,-334.92624528000005
2021-03-21 09:45:00,-332.6354294400001
2021-03-21 10:00:00,-337.2170611200001
2021-03-21 10:15:00,-360.12521952000014
2021-03-21 10:30:00,-321.18135024000003
2021-03-21 10:45:00,-323.4721660800001
2021-03-21 11:00:00,-309.72727104000006
2021-03-21 11:15:00,-314.3089027200001
2021-03-21 11:30:00,-330.34461360000006
2021-03-21 11:45:00,-318.8905344000001
2021-03-21 12:00:00,-316.59971856000004
2021-03-21 12:15:00,-318.8905344000001
2021-03-21 12:30:00,-316.59971856000004
2021-03-21 12:45:00,-318.8905344000001
2021-03-21 13:00:00,-318.8905344000001
2021-03-21 13:15:00,-316.59971856000004
2021-03-21 13:30:00,-325.76298192
2021-03-21 13:45:00,-316.59971856000004
2021-03-21 14:00:00,-337.2170611200001
2021-03-21 14:15:00,-339.50787696000003
2021-03-21 14:30:00,-332.6354294400001
2021-03-21 14:45:00,-328.05379776000007
2021-03-21 15:00:00,-328.05379776000007
2021-03-21 15:15:00,-341.7986928000001
2021-03-21 15:30:00,-344.08950864
2021-03-21 15:45:00,-350.96195616000006
2021-03-21 16:00:00,-355.54358784000016
2021-03-21 16:15:00,-366.99766704000007
2021-03-21 16:30:00,-376.1609304000001
2021-03-21 16:45:00,-378.45174624000003
2021-03-21 17:00:00,-385.32419376000007
2021-03-21 17:15:00,-394.4874571200001
2021-03-21 17:30:00,-399.06908880000015
2021-03-21 17:45:00,-412.8139838400001
2021-03-21 18:00:00,-428.8496947200001
2021-03-21 18:15:00,-433.4313264000001
2021-03-21 18:30:00,-444.88540560000007
2021-03-21 18:45:00,-447.17622144000006
2021-03-21 19:00:00,-454.04866896000004
2021-03-21 19:15:00,-456.3394848000001
2021-03-21 19:30:00,-467.79356400000006
2021-03-21 19:45:00,-470.0843798400001
2021-03-21 20:00:00,-479.2476432000001
2021-03-21 20:15:00,-486.1200907200001
2021-03-21 20:30:00,-488.41090656000006
2021-03-21 20:45:00,-442.5945897600001
2021-03-21 21:30:00,-486.1200907200001
2021-03-21 21:45:00,-472.37519568000005
2021-03-21 22:15:00,-472.37519568000005
2021-03-21 22:30:00,-465.5027481600001
2021-03-21 22:45:00,-463.21193232
2021-03-21 23:00:00,-463.21193232
2021-03-21 23:15:00,-444.88540560000007
2021-03-21 23:30:00,-460.92111648000014
2021-03-21 23:45:00,-465.5027481600001
2021-03-22 00:00:00,-458.63030064000003
2021-03-22 00:15:00,-467.79356400000006
2021-03-22 00:30:00,-454.04866896000004
2021-03-22 00:45:00,-456.3394848000001
2021-03-22 01:00:00,-454.04866896000004
2021-03-22 01:15:00,-454.04866896000004
2021-03-22 01:30:00,-470.0843798400001
2021-03-22 01:45:00,-454.04866896000004
2021-03-22 02:00:00,-463.21193232
2021-03-22 02:15:00,-454.04866896000004
2021-03-22 02:30:00,-451.7578531200001
2021-03-22 04:00:00,-458.63030064000003
2021-03-22 04:15:00,-460.92111648000014
2021-03-22 04:30:00,-460.92111648000014
